epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7432,1.48266,3.58965,1.24188,0.0016,1,0.54556,0.32169,1.12291,3.84274,1.00305,0.0003,0.0003,0.0003
2,157.992,1.2148,2.62119,1.11992,0.0016,1,0.63713,0.38137,0.92457,3.68277,0.94348,0.000607724,0.000607724,0.000607724
3,284.537,1.3121,2.34504,1.21308,0.0016,1,0.22532,0.13596,1.25661,4.05859,1.19961,0.000902776,0.000902776,0.000902776
4,373.77,1.28789,2.18875,1.23724,0.10506,0.09803,0.116,0.05724,1.27594,3.82214,1.36135,0.00118516,0.00118516,0.00118516
5,435.626,1.2384,2.21561,1.26851,0.24488,0.08333,0.07688,0.0293,1.52945,4.45586,1.66646,0.00145486,0.00145486,0.00145486
6,478.456,1.27423,1.92953,1.25797,0.46896,0.36111,0.27727,0.14344,1.47028,3.68925,1.45092,0.0017119,0.0017119,0.0017119
7,521.545,1.30314,1.87423,1.25328,0.8335,0.47222,0.57621,0.29405,1.5372,3.15835,1.60878,0.0017624,0.0017624,0.0017624
8,566.756,1.22412,1.60174,1.21908,0.69405,0.56734,0.54928,0.30244,1.35758,2.67587,1.48401,0.0017228,0.0017228,0.0017228
9,611.586,1.26134,1.66598,1.25683,0.87941,0.81043,0.90948,0.53537,1.31064,1.65049,1.53987,0.0016832,0.0016832,0.0016832
10,659.309,1.14612,1.33098,1.19688,0.8845,0.86111,0.91854,0.55781,1.31191,1.5695,1.39635,0.0016436,0.0016436,0.0016436
11,712.912,1.10992,1.21122,1.15494,0.8934,0.83333,0.9241,0.53951,1.31181,1.51751,1.41749,0.001604,0.001604,0.001604
12,766.14,1.15834,1.18436,1.17646,0.84234,0.89051,0.93481,0.57702,1.3121,1.66285,1.39338,0.0015644,0.0015644,0.0015644
13,819.727,1.17014,1.17721,1.19822,0.90318,0.88889,0.94305,0.59711,1.22719,1.42396,1.32305,0.0015248,0.0015248,0.0015248
14,873.772,1.20492,1.14549,1.24184,0.90196,0.86111,0.88606,0.56226,1.24751,1.34739,1.2848,0.0014852,0.0014852,0.0014852
15,927.904,1.13226,1.13568,1.17741,0.80811,0.83333,0.8553,0.54281,1.2707,1.4544,1.33289,0.0014456,0.0014456,0.0014456
16,982.295,1.10621,1.03843,1.14791,0.94422,0.9406,0.93258,0.60929,1.2281,1.08628,1.27216,0.001406,0.001406,0.001406
17,1036.97,1.09195,0.979,1.14723,0.89231,0.92075,0.94158,0.59171,1.22719,1.0456,1.28899,0.0013664,0.0013664,0.0013664
18,1091.19,1.07283,0.94583,1.12193,0.8786,0.80419,0.8586,0.57376,1.25659,1.33516,1.32113,0.0013268,0.0013268,0.0013268
19,1145.16,1.09544,0.92082,1.15914,0.79695,0.63889,0.71275,0.42599,1.34589,1.85337,1.38075,0.0012872,0.0012872,0.0012872
20,1198.95,1.04032,0.88153,1.13992,0.82261,0.64423,0.73737,0.44082,1.42052,1.82993,1.42102,0.0012476,0.0012476,0.0012476
21,1253.73,1.03807,0.83001,1.10015,0.93646,0.80556,0.90485,0.5665,1.2344,1.26507,1.28774,0.001208,0.001208,0.001208
22,1308.59,1.04314,0.8638,1.14462,0.98904,1,0.995,0.68628,1.16764,0.73816,1.17644,0.0011684,0.0011684,0.0011684
23,1362.67,1.01564,0.80827,1.09675,1,0.99801,0.995,0.67979,1.1711,0.75276,1.2342,0.0011288,0.0011288,0.0011288
24,1417.27,1.0382,0.82367,1.1394,0.94273,0.9145,0.92424,0.60061,1.16969,1.0254,1.2041,0.0010892,0.0010892,0.0010892
